Generation # 43  Max Fitness: 0.0021386053670307556
Generation # 44  Max Fitness: 0.0021386053670307556
Generation # 45  Max Fitness: 0.0021386053670307556
Generation # 46  Max Fitness: 0.0021386053670307556
Generation # 47  Max Fitness: 0.0021386053670307556
Generation # 48  Max Fitness: 0.0021386053670307556
Generation # 49  Max Fitness: 0.0021386053670307556
Accuracy:  93.0 %
38 <= node_count < 49
Population: 4  Node Count: 47
3.328636034123558e-11 3.328636034123558e-11
Generation # 0  Max Fitness: 0.0005129778908787867
New Best Fitness
Generation # 1  Max Fitness: 0.0005129778908787867
Generation # 2  Max Fitness: 0.0005129778908787867
Generation # 3  Max Fitness: 0.0005129778908787867
Generation # 4  Max Fitness: 0.0006300165358851118
New Best Fitness
Generation # 5  Max Fitness: 0.0006300165358851118
Generation # 6  Max Fitness: 0.0006300165358851118
Generation # 7  Max Fitness: 0.0006300165358851118
Generation # 8  Max Fitness: 0.0006300165358851118
Generation # 9  Max Fitness: 0.0006300165358851118
Generation # 10  Max Fitness: 0.0006300165358851118
Generation # 11  Max Fitness: 0.0006300165358851118
Generation # 12  Max Fitness: 0.0008111462899520816
New Best Fitness
Generation # 13  Max Fitness: 0.0008111462899520816
Generation # 14  Max Fitness: 0.0008111462899520816
Generation # 15  Max Fitness: 0.0008111462899520816
Generation # 16  Max Fitness: 0.0008111462899520816
Generation # 17  Max Fitness: 0.0008111462899520816
Generation # 18  Max Fitness: 0.0008111462899520816
Generation # 19  Max Fitness: 0.0008111462899520816
Generation # 20  Max Fitness: 0.0008111462899520816
Generation # 21  Max Fitness: 0.0008111462899520816
Generation # 22  Max Fitness: 0.0008111462899520816
Generation # 23  Max Fitness: 0.0008111462899520816
Generation # 24  Max Fitness: 0.0008111462899520816
Generation # 25  Max Fitness: 0.0008111462899520816
Generation # 26  Max Fitness: 0.0008111462899520816
Generation # 27  Max Fitness: 0.0008111462899520816
Generation # 28  Max Fitness: 0.0008111462899520816
Generation # 29  Max Fitness: 0.0012499347876988541
New Best Fitness
Generation # 30  Max Fitness: 0.0012499347876988541
Generation # 31  Max Fitness: 0.0012499347876988541
Generation # 32  Max Fitness: 0.0012499347876988541
Generation # 33  Max Fitness: 0.0012499347876988541
Generation # 34  Max Fitness: 0.0012499347876988541
Generation # 35  Max Fitness: 0.0012499347876988541
Generation # 36  Max Fitness: 0.0012499347876988541
Generation # 37  Max Fitness: 0.0012499347876988541
Generation # 38  Max Fitness: 0.0012499347876988541
Generation # 39  Max Fitness: 0.0012499347876988541
Generation # 40  Max Fitness: 0.0012499347876988541
Generation # 41  Max Fitness: 0.0012499347876988541
Generation # 42  Max Fitness: 0.0012499347876988541
Generation # 43  Max Fitness: 0.0012499347876988541
Generation # 44  Max Fitness: 0.0012499347876988541
Generation # 45  Max Fitness: 0.0012499347876988541
Generation # 46  Max Fitness: 0.0008939992007258456
Generation # 47  Max Fitness: 0.0008061081142380934
Generation # 48  Max Fitness: 0.0008061081142380934
Generation # 49  Max Fitness: 0.0008061081142380934
Accuracy:  96.0 %
43 <= node_count < 49
Population: 5  Node Count: 45
4.1470035668364236e-11 4.1470035668364236e-11
Generation # 0  Max Fitness: 9.344306804051698e-05
New Best Fitness
Generation # 1  Max Fitness: 9.344306804051698e-05
Generation # 2  Max Fitness: 0.0003197059663956642
New Best Fitness
Generation # 3  Max Fitness: 0.0003197059663956642
Generation # 4  Max Fitness: 0.00048064473157303524
New Best Fitness
Generation # 5  Max Fitness: 0.00048064473157303524
Generation # 6  Max Fitness: 0.00048064473157303524
Generation # 7  Max Fitness: 0.00048064473157303524
Generation # 8  Max Fitness: 0.001738744473697037
New Best Fitness
Generation # 9  Max Fitness: 0.0018991322005735404
New Best Fitness
Generation # 10  Max Fitness: 0.0026550902353080236
New Best Fitness
Generation # 11  Max Fitness: 0.0026550902353080236
Generation # 12  Max Fitness: 0.0026550902353080236
Generation # 13  Max Fitness: 0.0026293126602079456
Generation # 14  Max Fitness: 0.0026293126602079456
Generation # 15  Max Fitness: 0.0026293126602079456
Generation # 16  Max Fitness: 0.0026293126602079456
Generation # 17  Max Fitness: 0.002681378257439786
New Best Fitness
Generation # 18  Max Fitness: 0.002681378257439786
Generation # 19  Max Fitness: 0.002681378257439786
Generation # 20  Max Fitness: 0.002681378257439786
Generation # 21  Max Fitness: 0.0026550902353080236
Generation # 22  Max Fitness: 0.004368051677442232
New Best Fitness
Generation # 23  Max Fitness: 0.004368051677442232
Generation # 24  Max Fitness: 0.004368051677442232
Generation # 25  Max Fitness: 0.004368051677442232
Generation # 26  Max Fitness: 0.004368051677442232
Generation # 27  Max Fitness: 0.004368051677442232
Generation # 28  Max Fitness: 0.004368051677442232
Generation # 29  Max Fitness: 0.004368051677442232
Generation # 30  Max Fitness: 0.004368051677442232
Generation # 31  Max Fitness: 0.004368051677442232
Generation # 32  Max Fitness: 0.0031243787815887275
Generation # 33  Max Fitness: 0.0036631801047791943
Generation # 34  Max Fitness: 0.0036631801047791943
Generation # 35  Max Fitness: 0.0036631801047791943
Generation # 36  Max Fitness: 0.00338524005001773
Generation # 37  Max Fitness: 0.004298717523832038
Generation # 38  Max Fitness: 0.004298717523832038
Generation # 39  Max Fitness: 0.004298717523832038
Generation # 40  Max Fitness: 0.004298717523832038
Generation # 41  Max Fitness: 0.004298717523832038
Generation # 42  Max Fitness: 0.004298717523832038
Generation # 43  Max Fitness: 0.004298717523832038
Generation # 44  Max Fitness: 0.004298717523832038
Generation # 45  Max Fitness: 0.004298717523832038
Generation # 46  Max Fitness: 0.004368051677442232
Generation # 47  Max Fitness: 0.004368051677442232
Generation # 48  Max Fitness: 0.004298717523832038
Generation # 49  Max Fitness: 0.004298717523832038
Accuracy:  96.0 %
45 <= node_count < 49
Population: 6  Node Count: 47
3.4871425119389653e-11 3.4871425119389653e-11
Generation # 0  Max Fitness: 0.0003377042282075683
New Best Fitness
Generation # 1  Max Fitness: 0.0003377042282075683
Generation # 2  Max Fitness: 0.0005332626811347149
New Best Fitness
Generation # 3  Max Fitness: 0.0005332626811347149
Generation # 4  Max Fitness: 0.0005332626811347149
Generation # 5  Max Fitness: 0.0005332626811347149
Generation # 6  Max Fitness: 0.0005332626811347149
Generation # 7  Max Fitness: 0.0005332626811347149
Generation # 8  Max Fitness: 0.0005332626811347149
Generation # 9  Max Fitness: 0.0005332626811347149
Generation # 10  Max Fitness: 0.0005332626811347149
Generation # 11  Max Fitness: 0.0005332626811347149
Generation # 12  Max Fitness: 0.0005332626811347149
Generation # 13  Max Fitness: 0.0005332626811347149
Generation # 14  Max Fitness: 0.0005332626811347149
Generation # 15  Max Fitness: 0.000888927441043377
New Best Fitness
Generation # 16  Max Fitness: 0.000888927441043377
Generation # 17  Max Fitness: 0.000888927441043377
Generation # 18  Max Fitness: 0.000888927441043377
Generation # 19  Max Fitness: 0.000888927441043377
Generation # 20  Max Fitness: 0.000888927441043377
Generation # 21  Max Fitness: 0.000888927441043377
Generation # 22  Max Fitness: 0.000888927441043377
Generation # 23  Max Fitness: 0.001260451439969699
New Best Fitness
Generation # 24  Max Fitness: 0.001260451439969699
Generation # 25  Max Fitness: 0.001260451439969699
Generation # 26  Max Fitness: 0.001260451439969699
Generation # 27  Max Fitness: 0.0016665797169318054
New Best Fitness
Generation # 28  Max Fitness: 0.0016665797169318054
Generation # 29  Max Fitness: 0.001897711210520888
New Best Fitness
Generation # 30  Max Fitness: 0.002301813360179178
New Best Fitness
Generation # 31  Max Fitness: 0.002301813360179178
Generation # 32  Max Fitness: 0.002301813360179178
Generation # 33  Max Fitness: 0.002301813360179178
Generation # 34  Max Fitness: 0.002301813360179178
Generation # 35  Max Fitness: 0.002301813360179178
Generation # 36  Max Fitness: 0.0025067693443047213
New Best Fitness
Generation # 37  Max Fitness: 0.0026802725344470275
New Best Fitness
Generation # 38  Max Fitness: 0.0026802725344470275
Generation # 39  Max Fitness: 0.0026802725344470275
Generation # 40  Max Fitness: 0.0025067693443047213
Generation # 41  Max Fitness: 0.0025067693443047213
Generation # 42  Max Fitness: 0.0025067693443047213
Generation # 43  Max Fitness: 0.0025067693443047213
Generation # 44  Max Fitness: 0.002788271367205698
New Best Fitness
Generation # 45  Max Fitness: 0.002788271367205698
Generation # 46  Max Fitness: 0.002788271367205698
Generation # 47  Max Fitness: 0.002788271367205698
Generation # 48  Max Fitness: 0.002788271367205698
Generation # 49  Max Fitness: 0.002788271367205698
Accuracy:  95.0 %
47 <= node_count < 49
Population: 7  Node Count: 48
1.7452723010972574e-11 1.7452723010972574e-11
Generation # 0  Max Fitness: 0.0008183179619924826
New Best Fitness
Generation # 1  Max Fitness: 0.0008183179619924826
Generation # 2  Max Fitness: 0.0008183179619924826
Generation # 3  Max Fitness: 0.0008183179619924826
Generation # 4  Max Fitness: 0.0008183179619924826
Generation # 5  Max Fitness: 0.0008183179619924826
Generation # 6  Max Fitness: 0.0004737696322952722
Generation # 7  Max Fitness: 0.0004737696322952722
Generation # 8  Max Fitness: 0.0004737696322952722
Generation # 9  Max Fitness: 0.0006703099011472146
Generation # 10  Max Fitness: 0.0006703099011472146
Generation # 11  Max Fitness: 0.0006703099011472146
Generation # 12  Max Fitness: 0.0008156437202866248
Generation # 13  Max Fitness: 0.0008156437202866248
Generation # 14  Max Fitness: 0.0008156437202866248
Generation # 15  Max Fitness: 0.0008156437202866248
Generation # 16  Max Fitness: 0.0008156437202866248
Generation # 17  Max Fitness: 0.0008156437202866248
Generation # 18  Max Fitness: 0.0008156437202866248
Generation # 19  Max Fitness: 0.0008156437202866248
Generation # 20  Max Fitness: 0.0008156437202866248
Generation # 21  Max Fitness: 0.0008156437202866248
Generation # 22  Max Fitness: 0.0008156437202866248
Generation # 23  Max Fitness: 0.0008156437202866248
Generation # 24  Max Fitness: 0.0008156437202866248
Generation # 25  Max Fitness: 0.0008156437202866248
Generation # 26  Max Fitness: 0.0008156437202866248
Generation # 27  Max Fitness: 0.0007495104456687904
Generation # 28  Max Fitness: 0.0007495104456687904
Generation # 29  Max Fitness: 0.0008840318986144424
New Best Fitness
Generation # 30  Max Fitness: 0.0013345818779247492
New Best Fitness
Generation # 31  Max Fitness: 0.0013345818779247492
Generation # 32  Max Fitness: 0.0013345818779247492
Generation # 33  Max Fitness: 0.0013345818779247492
Generation # 34  Max Fitness: 0.0013345818779247492
Generation # 35  Max Fitness: 0.0013345818779247492
Generation # 36  Max Fitness: 0.0018086012928094724
New Best Fitness
Generation # 37  Max Fitness: 0.0018086012928094724
Generation # 38  Max Fitness: 0.0018086012928094724
Generation # 39  Max Fitness: 0.0018086012928094724
Generation # 40  Max Fitness: 0.0018086012928094724
Generation # 41  Max Fitness: 0.0018086012928094724
Generation # 42  Max Fitness: 0.0018086012928094724
Generation # 43  Max Fitness: 0.0018086012928094724
Generation # 44  Max Fitness: 0.0018086012928094724
Generation # 45  Max Fitness: 0.0018086012928094724
Generation # 46  Max Fitness: 0.0018086012928094724
Generation # 47  Max Fitness: 0.001697870601412974
Generation # 48  Max Fitness: 0.001697870601412974
Generation # 49  Max Fitness: 0.001697870601412974
Accuracy:  96.0 %
48 <= node_count < 49
Population: 8  Node Count: 48
1.8280771912953025e-11 1.8280771912953025e-11
Generation # 0  Max Fitness: 3.407203663263227e-05
New Best Fitness
Generation # 1  Max Fitness: 3.407203663263227e-05
Generation # 2  Max Fitness: 0.00021275366377076802
New Best Fitness
Generation # 3  Max Fitness: 0.00021275366377076802
Generation # 4  Max Fitness: 0.0003672786023609186
New Best Fitness
Generation # 5  Max Fitness: 0.0003672786023609186
Generation # 6  Max Fitness: 0.0004420159493072212
New Best Fitness
Generation # 7  Max Fitness: 0.0005187674027412382
New Best Fitness
Generation # 8  Max Fitness: 0.0005187674027412382
Generation # 9  Max Fitness: 0.0005187674027412382
Generation # 10  Max Fitness: 0.000652344339852721
New Best Fitness
Generation # 11  Max Fitness: 0.0007982859119808094
New Best Fitness
Generation # 12  Max Fitness: 0.0007982859119808094
Generation # 13  Max Fitness: 0.0007982859119808094
Generation # 14  Max Fitness: 0.0007982859119808094
Generation # 15  Max Fitness: 0.0007982859119808094
Generation # 16  Max Fitness: 0.0007982859119808094
Generation # 17  Max Fitness: 0.0009043006464047362
New Best Fitness
Generation # 18  Max Fitness: 0.0009043006464047362
Generation # 19  Max Fitness: 0.0009043006464047362
Generation # 20  Max Fitness: 0.0009043006464047362
Generation # 21  Max Fitness: 0.0009043006464047362
Generation # 22  Max Fitness: 0.0009043006464047362
Generation # 23  Max Fitness: 0.0009043006464047362
Generation # 24  Max Fitness: 0.0009043006464047362
Generation # 25  Max Fitness: 0.0009043006464047362
Generation # 26  Max Fitness: 0.0009043006464047362
Generation # 27  Max Fitness: 0.0009043006464047362
Generation # 28  Max Fitness: 0.0009043006464047362
Generation # 29  Max Fitness: 0.0009043006464047362
Generation # 30  Max Fitness: 0.0009043006464047362
Generation # 31  Max Fitness: 0.0009043006464047362
Generation # 32  Max Fitness: 0.0009043006464047362
Generation # 33  Max Fitness: 0.0009043006464047362
Generation # 34  Max Fitness: 0.0009043006464047362
Generation # 35  Max Fitness: 0.0009043006464047362
Generation # 36  Max Fitness: 0.0009043006464047362
Generation # 37  Max Fitness: 0.0012734029510597306
New Best Fitness
Generation # 38  Max Fitness: 0.0012734029510597306
Generation # 39  Max Fitness: 0.0012734029510597306
Generation # 40  Max Fitness: 0.0012862633135522993
New Best Fitness
Generation # 41  Max Fitness: 0.0015406603605414024
New Best Fitness
Generation # 42  Max Fitness: 0.0015406603605414024
Generation # 43  Max Fitness: 0.0015406603605414024
Generation # 44  Max Fitness: 0.0015406603605414024
Generation # 45  Max Fitness: 0.0015406603605414024
Generation # 46  Max Fitness: 0.002064003921746713
New Best Fitness
Generation # 47  Max Fitness: 0.0015406603605414024
Generation # 48  Max Fitness: 0.0015406603605414024
Generation # 49  Max Fitness: 0.0015406603605414024
Accuracy:  97.0 %
36 <= node_count < 49
Population: 9  Node Count: 38
8.161512361348188e-10 8.161512361348188e-10
Generation # 0  Max Fitness: 0.000448583685452024
New Best Fitness
Generation # 1  Max Fitness: 0.000448583685452024
Generation # 2  Max Fitness: 0.000448583685452024
Generation # 3  Max Fitness: 0.000448583685452024
Generation # 4  Max Fitness: 0.000448583685452024
Generation # 5  Max Fitness: 0.0007184975769402023
New Best Fitness
Generation # 6  Max Fitness: 0.0007184975769402023
Generation # 7  Max Fitness: 0.001033055134921636
New Best Fitness
Generation # 8  Max Fitness: 0.0015250400758019197
New Best Fitness
Generation # 9  Max Fitness: 0.0015250400758019197
Generation # 10  Max Fitness: 0.0015250400758019197
Generation # 11  Max Fitness: 0.0015250400758019197
Generation # 12  Max Fitness: 0.001420763831302643
Generation # 13  Max Fitness: 0.001420763831302643
Generation # 14  Max Fitness: 0.001420763831302643
Generation # 15  Max Fitness: 0.001420763831302643
Generation # 16  Max Fitness: 0.001420763831302643
Generation # 17  Max Fitness: 0.001420763831302643
Generation # 18  Max Fitness: 0.001420763831302643
Generation # 19  Max Fitness: 0.001420763831302643
Generation # 20  Max Fitness: 0.001420763831302643
Generation # 21  Max Fitness: 0.001420763831302643
Generation # 22  Max Fitness: 0.001420763831302643
Generation # 23  Max Fitness: 0.0014865915356189398
Generation # 24  Max Fitness: 0.0014865915356189398
Generation # 25  Max Fitness: 0.0015538157954246288
New Best Fitness
Generation # 26  Max Fitness: 0.002770489471040154
New Best Fitness
Generation # 27  Max Fitness: 0.002770489471040154
Generation # 28  Max Fitness: 0.002770489471040154
Generation # 29  Max Fitness: 0.002770489471040154
Generation # 30  Max Fitness: 0.002770489471040154
Generation # 31  Max Fitness: 0.002770489471040154
Generation # 32  Max Fitness: 0.002770489471040154
Generation # 33  Max Fitness: 0.002770489471040154
Generation # 34  Max Fitness: 0.002770489471040154
Generation # 35  Max Fitness: 0.002770489471040154
Generation # 36  Max Fitness: 0.002770489471040154
Generation # 37  Max Fitness: 0.0030950074108570657
New Best Fitness
Generation # 38  Max Fitness: 0.0030950074108570657
Generation # 39  Max Fitness: 0.0030950074108570657
Generation # 40  Max Fitness: 0.0030950074108570657
Generation # 41  Max Fitness: 0.0030950074108570657
Generation # 42  Max Fitness: 0.0030950074108570657
Generation # 43  Max Fitness: 0.0030950074108570657
Generation # 44  Max Fitness: 0.0030950074108570657
Generation # 45  Max Fitness: 0.0030950074108570657
Generation # 46  Max Fitness: 0.0030950074108570657
Generation # 47  Max Fitness: 0.0030950074108570657
Generation # 48  Max Fitness: 0.003137993624896747
New Best Fitness
Generation # 49  Max Fitness: 0.003137993624896747
Accuracy:  95.0 %
38 <= node_count < 49
Population: 10  Node Count: 46
3.80415546756978e-11 3.80415546756978e-11
Generation # 0  Max Fitness: 0.0007216702362179453
New Best Fitness
Generation # 1  Max Fitness: 0.0007216702362179453
Generation # 2  Max Fitness: 0.0007216702362179453
Generation # 3  Max Fitness: 0.0007216702362179453
Generation # 4  Max Fitness: 0.0012036409066729706
New Best Fitness
Generation # 5  Max Fitness: 0.0012036409066729706
Generation # 6  Max Fitness: 0.0012036409066729706
Generation # 7  Max Fitness: 0.0008519718066461854
Generation # 8  Max Fitness: 0.0010725901354738268
Generation # 9  Max Fitness: 0.0011573956618589688
